tick,fleet_id,AR,AreaScale,split_separation,angle_coverage,wedge_ratio,formation_labels,centroid_x,centroid_y,orientation_theta,alive_units,fleet_size_hp,fleet_size_ships_ceil,collapse_event_v2
0,A,2.2242986361,32.7838374813,1.7233266161,0.0833333333,0.8355981794,Rectangle + Split,14.3840620434,13.6769552622,2.4104412211,100,10000.0000000000,10000,0
0,B,2.2242986361,32.7838374813,1.7233266161,0.0833333333,1.1967474608,Rectangle + Split,185.6159379566,186.3230447378,2.4104412211,100,10000.0000000000,10000,0
10,A,1.7796490120,28.9760353801,1.6837427158,0.0833333333,0.8367674821,Rectangle + Split,20.6135450119,20.1002920490,2.4126591948,100,10000.0000000000,10000,1
10,B,1.7515225340,29.1352302880,1.6711986864,0.0833333333,1.2134142241,Split,179.3746866896,179.9846696258,2.4263298151,100,10000.0000000000,10000,1
20,A,1.3322954328,29.3473138651,1.6676730155,0.0833333333,0.8649475188,Split,26.9418878094,26.4819224174,2.4128334183,100,10000.0000000000,10000,1
20,B,1.2978292999,29.6054171536,1.6569293772,0.0833333333,1.1513960941,Split,173.1445621451,173.5039560739,2.4378590934,100,10000.0000000000,10000,1
30,A,1.0238209454,26.1420800447,1.6871324536,0.0833333333,0.7430903051,Split,32.5642819004,32.3458446895,0.5746561548,100,10000.0000000000,10000,0
30,B,1.0570563268,26.5388493121,1.6927772148,0.0833333333,1.4528482858,Split,167.4850606560,167.6963106089,0.6889854418,100,10000.0000000000,10000,0
40,A,1.2939106728,28.7162986484,1.6549099271,0.0833333333,0.7522092075,Split,38.3995739052,38.3676061924,0.7837963594,100,10000.0000000000,10000,1
40,B,1.3596015850,28.5019501441,1.7045010278,0.0833333333,1.5573818691,Split,161.6436629958,161.9364709701,0.7942210887,100,10000.0000000000,10000,1
50,A,1.5839839963,30.8726118366,1.7116766164,0.0833333333,0.6861224544,Split,44.7022288389,44.7818259631,0.7993981786,100,10000.0000000000,10000,1
50,B,1.5763683750,31.9723836395,1.6756166413,0.0833333333,1.5249490518,Split,155.2530320902,155.5652768608,0.7820567603,100,10000.0000000000,10000,1
60,A,1.8268934170,31.7350316392,1.7274063963,0.0833333333,0.6013641143,Split,51.3030999373,51.2459849577,0.7937082813,100,10000.0000000000,10000,1
60,B,1.8136865209,32.7956488594,1.7140064776,0.0833333333,1.6417744782,Split,148.7338485693,148.9831491990,0.7767691027,100,10000.0000000000,10000,1
70,A,1.9524453914,32.5931254272,1.7523184791,0.0833333333,0.5707805049,Split,57.8652804845,57.8538766859,0.7766417364,100,10000.0000000000,10000,1
70,B,1.9394656374,33.5844738195,1.7865360061,0.0833333333,1.6504532790,Split,142.1776552948,142.3228099628,0.7703104033,100,10000.0000000000,10000,1
80,A,2.0586401411,32.8057059392,1.7897517533,0.0833333333,0.5221245289,Split,64.4121968560,64.6340141142,0.7766156393,100,10000.0000000000,10000,1
80,B,2.0586921722,33.3619267648,1.8104875343,0.0833333333,1.6996346317,Split,135.6396872244,135.6374071536,0.7761728210,100,10000.0000000000,10000,1
90,A,2.0994266366,32.8753398447,1.8233942559,0.0833333333,0.5246986874,Split,70.9961797858,71.2939176815,0.7760429209,100,10000.0000000000,10000,1
90,B,2.0864496027,33.7502831900,1.8712349298,0.0833333333,1.8793722051,Split,128.9944780283,129.0191850879,0.7850255357,100,10000.0000000000,10000,1
100,A,2.1572922818,32.7454758008,1.8035495675,0.0833333333,0.5504972040,Split,77.5817878425,77.8862664504,0.7735714928,100,9997.8000096588,9998,1
100,B,2.1562445129,33.3590231623,1.9032819188,0.0833333333,1.8900814635,Split,122.3075771722,122.4664182466,0.7931709029,100,9997.8000283930,9998,1
110,A,2.1718225734,32.4836619887,1.8033546820,0.0833333333,0.5906927877,Split,84.0185614242,84.6191966614,0.7568816538,100,9948.3520979450,9949,1
110,B,2.1632510318,32.9265401969,2.0594103396,0.0833333333,1.7024592168,Split,116.0414708563,115.5544428490,0.7834029641,100,9948.4914414143,9949,1
120,A,1.9013325347,31.4035041930,1.7794408936,0.1666666667,0.6346799709,Split,88.3195107143,91.8458616413,0.8213703664,99,9741.7205321215,9742,1
120,B,1.9880391394,31.7301788659,1.8151937724,0.2500000000,1.4634939238,Split,109.7301940034,109.4805058470,0.7508789206,99,9649.4253925120,9650,1
130,A,1.5767660587,29.0997903962,1.6932825731,0.3333333333,0.7826912285,Split,84.9290971297,94.7380754826,0.8087859951,96,9355.3128832123,9356,1
130,B,1.5115849148,26.9961879791,1.6390857937,0.2500000000,1.2746864301,Split,102.6185298353,108.0261621385,0.6720375391,94,9242.3925310556,9243,1
140,A,1.2212839730,26.4868764455,1.6313051016,0.4166666667,0.8473225517,Split,83.6286254619,94.0918940931,0.7983731265,92,8948.7291975382,8949,1
140,B,1.3609053906,23.4206352892,1.6612662063,0.3333333333,1.2723321546,Split,97.5925483397,103.0171068432,0.7687864682,89,8770.4627154788,8771,1
150,A,1.1320295914,24.3524218584,1.6286269708,0.4166666667,0.8624261181,Split,81.7335568424,94.5135771793,1.0382234283,87,8470.4983783116,8471,1
150,B,1.2867575177,21.4800348031,1.6389136799,0.5000000000,0.9694783645,Split,91.9460845018,102.4373342857,0.6518296859,85,8220.9933846839,8221,1
160,A,1.1093128265,23.0221005694,1.6427179806,0.7500000000,1.1887075594,Split + Enveloping,80.0763216532,96.9803236813,2.7914367512,84,8002.4683067501,8003,1
160,B,1.3251501000,20.0379023048,1.6230627777,0.7500000000,1.1283850938,Split + Enveloping,85.5737803189,102.1240649903,0.0827918906,79,7687.6321181133,7688,1
170,A,1.2300738262,21.3581603356,1.6635267189,0.8333333333,1.2709107298,Compact + Split + Enveloping,79.9720547778,96.8299742897,2.5974871551,77,7431.7761327243,7432,1
170,B,1.2787063055,19.9151369309,1.6565390320,0.7500000000,0.9233918649,Split + Enveloping,83.1930033819,101.7588317902,2.8684029048,74,7062.1327655280,7063,1
180,A,1.1166196347,23.5081035813,1.6623567683,1.0000000000,1.3195162788,Split + Enveloping,81.1588058269,97.9100422749,2.8137527740,71,6813.8390265660,6814,1
180,B,1.2467818690,21.3060026651,1.6413943912,1.0000000000,0.8658754219,Split + Enveloping,81.9818539650,101.2594951246,2.7103739152,69,6434.9717463601,6435,1
190,A,1.1569528307,22.6611048012,1.6403016669,1.0000000000,1.2387675696,Split + Enveloping,80.9615770951,96.8454635266,0.8404266488,67,6266.6569528131,6267,1
190,B,1.1490642526,21.0080695772,1.6794958938,1.0000000000,0.9163507117,Split + Enveloping,81.3065449724,98.1644915770,0.2526416049,63,5868.1281835629,5869,1
200,A,1.1134803221,22.3896640183,1.6526571910,1.0000000000,1.1501758610,Split + Enveloping,80.1200272520,94.7091521902,1.3370758936,61,5743.4491202700,5744,1
200,B,1.4620531800,19.0698810131,1.6932608787,0.9166666667,0.9583902300,Split + Enveloping,79.7097421646,96.5795208024,0.0094340024,57,5323.9938821026,5324,1
210,A,1.2068157709,21.6834530479,1.7327974027,1.0000000000,1.2878884678,Split + Enveloping,80.7337052856,93.5633365719,0.5339216277,57,5275.6260503396,5276,1
210,B,1.0979177262,18.2821285011,1.6526229948,1.0000000000,0.8854464022,Compact + Split + Enveloping,82.0506872616,94.6183320663,3.1350013749,53,4826.5808805622,4827,1
220,A,1.1628625542,18.5292617471,1.6947766074,1.0000000000,1.2784142899,Compact + Split + Enveloping,79.2693718844,95.7780769907,0.5738348096,52,4848.8733315143,4849,1
220,B,1.1532700966,16.1863436599,1.6365820994,0.9166666667,0.8738182901,Compact + Split + Enveloping,82.5312757183,98.1263258504,2.6446090873,47,4382.1665568126,4383,1
230,A,1.3509597638,14.9682800641,1.9345733924,0.8333333333,1.0842210829,Compact + Split + Enveloping,83.3742618509,99.2126072747,0.6604476859,47,4442.8332684005,4443,1
230,B,1.3297302478,13.5361208962,1.6760525150,0.5833333333,0.8098657226,Compact + Split + Enveloping,86.3639756566,104.4756501641,2.4977460510,42,3998.7692247018,3999,1
240,A,1.5547257967,15.0518344839,1.7791754013,0.9166666667,0.8173473046,Rectangle + Split + Enveloping,88.5280587741,101.6651506912,0.6927096043,44,4094.1569433591,4095,1
240,B,1.3346978168,13.5517637418,1.7625864373,0.9166666667,1.0705332456,Compact + Split + Enveloping,87.2309981952,103.3290126518,2.1864486610,40,3640.2038388470,3641,1
250,A,1.3400524772,13.4861625407,1.7592831194,0.6666666667,1.3061914710,Compact + Split + Enveloping,92.1397094646,99.3392590799,0.5704940759,41,3772.8789116950,3773,1
250,B,1.2303564598,13.0643841938,1.7357681417,0.8333333333,0.8969583761,Compact + Split + Enveloping,89.2818526870,102.5541163833,1.7777225038,37,3299.8560412301,3300,1
260,A,1.8282128657,11.4560732169,1.6936035018,0.8333333333,1.1365960388,Rectangle + Split + Enveloping,95.7799954680,96.6822532929,0.6643652292,38,3487.3793681865,3488,1
260,B,1.3431627338,12.4105011725,1.7978747888,0.9166666667,1.1389266308,Compact + Split + Enveloping,93.6978183999,98.0249225595,2.0875848539,33,2987.4441188668,2988,1
270,A,1.6131082143,13.2605933922,1.6496229885,1.0000000000,0.8557199063,Rectangle + Split + Enveloping,94.3821233145,101.6914819090,0.7177808942,37,3220.8411022733,3221,1
270,B,1.8542676159,11.3996633403,1.6961263697,0.7500000000,1.0174517756,Rectangle + Split + Enveloping,93.4260133593,99.8985880053,2.1191458235,29,2690.4916011384,2691,1
280,A,1.7921000658,12.5664123591,1.7308800384,0.8333333333,0.8138770615,Rectangle + Split + Enveloping,92.8407377242,102.3517539846,0.7712358783,32,2996.6827239660,2997,1
280,B,1.5355163861,10.8402317458,1.7102494568,0.9166666667,0.9873143135,Rectangle + Split + Enveloping,93.7050988382,100.1248892619,2.2743642985,27,2415.5709776306,2416,1
290,A,1.5885206793,12.0744341595,1.7698091471,0.8333333333,0.8245752070,Rectangle + Split + Enveloping,88.8961151232,103.7970201234,0.5464554020,31,2766.1960081788,2767,1
290,B,1.8223053045,8.9153449980,1.7321742636,0.8333333333,0.9266931811,Rectangle + Split + Enveloping,89.4141668725,100.5860407700,2.3263887013,24,2169.3902221578,2170,1
300,A,1.5853499445,11.4101966490,1.8155769453,0.8333333333,0.7817511710,Split + Enveloping,86.2367782931,99.6251775260,0.4475671096,29,2567.3218252602,2568,1
300,B,1.6305881160,7.3633940420,1.7241731159,0.5833333333,1.2612693309,Split + Enveloping,85.4204029144,96.4493346165,2.4223028504,22,1940.4311807793,1941,1
