cell_FR,cell_MB,cell_PD,opponent_archetype_name,candidate_model,delta_precontact_ar_p90_A,delta_precontact_ar_max_A,delta_precontact_wedge_p10_A,delta_precontact_split_p90_A,delta_overall_ar_p90_A,delta_end_tick,delta_cut_tick_T
8,2,5,bittenfeld,v3b1,0.2788067036390567,0.31487540973361217,-0.0459114963604792,-0.0034045341353752256,0.20769082201639177,-31.0,-118.0
8,2,5,bittenfeld,v3b2,0.08886830713276694,0.04608250503951439,-0.07823823592642254,0.0065197177697231545,0.05112244717850034,-6.0,70.0
8,2,5,bittenfeld,v3b3,0.08302784035971555,0.050373583433639624,-0.08007000519137863,0.00014365363439172718,0.0949922919177335,-66.0,33.0
8,2,5,bittenfeld,v3b4,-0.10630556516277867,-0.11492398027289452,-0.042945195056038776,-0.002159722709345946,-0.09699556269594023,-54.0,58.0
8,2,5,bittenfeld,v3b5,-0.19916917475895524,-0.11492398027289452,-0.013442858055707552,-0.003208658906032724,-0.17551457413854665,-45.0,-13.0
8,2,5,kircheis,v3b1,0.31425767645132296,0.28970201708804,-0.06363693433345685,-0.005092583940257578,0.0503663313735947,0.0,180.0
8,2,5,kircheis,v3b2,0.11004184516854876,0.034648541644223485,-0.062476614987197365,-0.005304356102938668,0.07582772378059977,-49.0,130.0
8,2,5,kircheis,v3b3,0.12241894717275903,0.05310329847578732,-0.062225044129729734,-0.012478720799442122,0.1364878245239911,26.0,114.0
8,2,5,kircheis,v3b4,-0.08851722359235259,-0.12597462346975696,-0.040436193523511466,-1.8036785975894531e-07,0.02940082920453202,133.0,134.0
8,2,5,kircheis,v3b5,-0.1765393059961715,-0.12597462346975696,-0.00782477755256572,0.0004949639795377436,-0.11581929164841132,-46.0,154.0
8,2,5,mittermeyer,v3b1,0.13559154172169663,0.30685280980444096,-0.01354241926290678,0.012828162833560697,0.03528420486293449,-16.0,38.0
8,2,5,mittermeyer,v3b2,0.23309246317984833,0.18691839958325618,-0.036403432571545435,0.012299539566846374,-0.03833449301337222,33.0,57.0
8,2,5,mittermeyer,v3b3,0.12383485625460633,0.11648336082812483,0.019857948227402278,0.004672647876041047,0.14553307632161516,82.0,71.0
8,2,5,mittermeyer,v3b4,0.02552112290000208,0.0,-0.03484318242808504,-0.0011005989337387057,-0.08820634890949286,22.0,48.0
8,2,5,mittermeyer,v3b5,-0.06780601774220418,0.0,-0.026534417524658016,-0.0010010662742490073,0.08425523478663077,42.0,73.0
8,2,5,muller,v3b1,0.2719344431898474,0.2997370097723864,-0.06781078516790129,0.015291929260379478,-0.07014622467171217,-80.0,62.0
8,2,5,muller,v3b2,0.13942854142717653,0.08676186184248502,-0.0805977835145264,0.0004091612543120071,0.02568312818625662,-101.0,95.0
8,2,5,muller,v3b3,0.1085088046684155,0.07734329412451357,-0.057336167493572066,0.007957618493068308,-0.15078181870002982,-39.0,69.0
8,2,5,muller,v3b4,-0.08008592165724826,-0.09011247056785532,-0.06946559837467337,-0.0018985384027931929,-0.09907673437201137,-3.0,214.0
8,2,5,muller,v3b5,-0.162728362934502,-0.09011247056785532,-0.02551445632972671,-0.002747553451318163,-0.3040601306578292,-60.0,49.0
8,2,5,reinhard,v3b1,0.24474999322895075,0.3220792789359832,-0.027946255537600218,0.0039680035995524054,0.06657383328862831,-9.0,192.0
8,2,5,reinhard,v3b2,0.1437191033407883,0.08640528841152095,-0.030485996555622785,-0.009641937876928797,0.11317013038832391,-50.0,159.0
8,2,5,reinhard,v3b3,0.10690446061970649,0.05961283798917094,-0.06262146635764754,0.009387399789028361,0.05437671367564434,69.0,116.0
8,2,5,reinhard,v3b4,-0.09346912565384136,-0.09318665298789952,-0.03941315756420938,-0.0012309883028529534,0.1494070405697494,86.0,195.0
8,2,5,reinhard,v3b5,-0.17165033188685008,-0.09318665298789952,-0.025161352202095255,-0.0015951911396241414,-0.0676840285732998,-10.0,76.0
8,2,5,reuenthal,v3b1,0.059446111144311864,0.09800646248753075,-0.009579834888187477,0.013736894612089046,0.03384219345058748,-63.0,0.0
8,2,5,reuenthal,v3b2,-0.023040345942683782,-0.01008099177335664,-0.07449586196581215,0.019945531874994593,-0.246335998442071,10.0,-4.0
8,2,5,reuenthal,v3b3,-0.0064128094675153235,-0.019105789382296567,-0.0194227941949332,0.01172068349163835,-0.1894650066361958,-25.0,1.0
8,2,5,reuenthal,v3b4,0.08119462608088135,0.0,-0.034466291235078494,-0.0008009380378446451,-0.04007661740245938,7.0,3.0
8,2,5,reuenthal,v3b5,0.015502311862236162,0.0,-0.012932305223624652,-0.0008876941297586427,-0.06599107295694262,-51.0,3.0
8,5,5,bittenfeld,v3b1,0.12834321080956101,0.08360451782484635,0.01781867547038185,-0.012364399296509454,0.17665684617596966,-52.0,140.0
8,5,5,bittenfeld,v3b2,-0.03487922103407115,-0.0677387697049161,-0.022141086815445243,-0.023588739957678184,0.014876742084076966,-57.0,158.0
8,5,5,bittenfeld,v3b3,-0.058561222372019106,-0.12385764985229608,0.01330484625844841,-0.008600765496765472,-0.12338561595795916,-13.0,-1.0
8,5,5,bittenfeld,v3b4,-0.17230534548341625,-0.1874402581503909,0.003002112137214352,-0.005153016784176456,0.0271854289297897,19.0,144.0
8,5,5,bittenfeld,v3b5,-0.25824987376260333,-0.1874402581503909,0.010060000671439862,-0.008233927762471227,-0.178126839550935,-63.0,225.0
8,5,5,kircheis,v3b1,0.12109477020026693,0.10119776062505847,-0.01418508198196311,0.008729682870923128,-0.17646058030132217,-112.0,-13.0
8,5,5,kircheis,v3b2,0.02794147345763376,-0.021317815146388863,0.015420442407283907,0.0003119182535602505,-0.150297910240627,-86.0,100.0
8,5,5,kircheis,v3b3,-0.015637084893245667,-0.016900306492850348,0.013876763708525752,-0.004411060050658611,-0.1132506892294729,-155.0,99.0
8,5,5,kircheis,v3b4,-0.15068763402958574,-0.16533660808406303,-0.013804784663759784,-0.0015472613453946238,-0.2311151176303432,-199.0,-41.0
8,5,5,kircheis,v3b5,-0.24126030558342437,-0.16533660808406303,-0.0030059954948419287,-0.003968182940843112,-0.328749529794492,-172.0,
8,5,5,mittermeyer,v3b1,0.1466990807058095,0.13961654248366795,0.047771321898234964,-0.006895787472150916,0.22136513924098122,-3.0,44.0
8,5,5,mittermeyer,v3b2,0.14150102248886887,0.11137646175780125,0.08541608805027767,-0.013479843846033512,0.10668715172204712,29.0,99.0
8,5,5,mittermeyer,v3b3,0.0630440292658121,0.024735996787839998,0.014772802686625286,-0.009541378030128111,0.008295399276123439,-86.0,43.0
8,5,5,mittermeyer,v3b4,0.0014660783258308996,0.0,0.0003046411716559616,-0.005601968729432416,0.032101996102296804,2.0,-1.0
8,5,5,mittermeyer,v3b5,-0.09292222214617185,0.0,0.0003046411716559616,-0.010642102785561658,0.1273515893838375,39.0,64.0
8,5,5,muller,v3b1,0.19108293008236465,0.21889117929113722,0.05238853812367983,-0.010330609940490287,0.315299288830968,-55.0,175.0
8,5,5,muller,v3b2,0.06209013730333757,0.0306967884404723,0.009109542975702323,-0.007537077318466201,0.15684066337993752,41.0,158.0
8,5,5,muller,v3b3,0.006802088718294463,-0.023073297890404465,-0.03029498190981772,-0.014963232316166142,0.09307067976174599,83.0,228.0
8,5,5,muller,v3b4,-0.09888977717408487,-0.09577217867072241,0.013085676788057943,-0.01672925467874875,0.10239149745354492,1.0,62.0
8,5,5,muller,v3b5,-0.1931323994938654,-0.09577217867072241,0.011908655589273343,-0.019018519193102712,-0.08099954764296191,-29.0,214.0
8,5,5,reinhard,v3b1,0.1463467173077304,0.09925678873340926,0.04167682677699325,4.7790419105187e-05,0.12983898223395496,17.0,293.0
8,5,5,reinhard,v3b2,-0.033170348780807934,-0.05139188766344516,-0.01924921243480704,-0.006196592564081893,0.02969620314927157,-75.0,60.0
8,5,5,reinhard,v3b3,-0.1145434178908653,-0.11349778740870464,0.044426558058506815,-0.011838542262888163,-0.11971687756113036,-57.0,122.0
8,5,5,reinhard,v3b4,-0.15979270224891318,-0.17194121221409864,0.00172603769089541,-0.006982722310290956,-0.05515565168260883,-34.0,201.0
8,5,5,reinhard,v3b5,-0.24048486303413652,-0.17194121221409864,0.013393208161861403,-0.008754362644566749,-0.16699733594054766,-83.0,-1.0
8,5,5,reuenthal,v3b1,0.05456757206403395,0.04962309942399301,0.06837177739748435,-0.01362538402734259,0.050121341132886243,80.0,-3.0
8,5,5,reuenthal,v3b2,0.0746851335396963,0.04679752024534922,0.03316049370971241,-0.0013107619448420316,0.020841258190348988,-60.0,-4.0
8,5,5,reuenthal,v3b3,0.02074452173092034,-0.01578594741693573,0.038382843938859934,0.003964135150418713,-0.03701961688413968,-58.0,-5.0
8,5,5,reuenthal,v3b4,0.0023104190259011226,0.0,-0.0042314507396957746,-0.008998354108310291,-0.032920538528058874,-29.0,-3.0
8,5,5,reuenthal,v3b5,-0.038091169309804496,0.0,-0.0016918219349680852,-0.007528309778371822,0.10059162349867723,-39.0,-5.0
8,8,5,bittenfeld,v3b1,0.21002879741914882,0.20105965049082464,-0.05559245155478221,0.013563627520343013,0.09886276881373357,4.0,156.0
8,8,5,bittenfeld,v3b2,-0.008232810640046662,-0.007651034041912919,-0.0457541220979224,-0.007876217736897173,-0.044257182418551366,104.0,212.0
8,8,5,bittenfeld,v3b3,-0.003798765871072529,-0.020644123777956658,-0.012655538434465208,0.0007547194963151149,0.05641814637044762,-59.0,194.0
8,8,5,bittenfeld,v3b4,-0.15533559033777378,-0.08346427444779048,0.0021485832937516713,-0.011292856069815338,-0.04723135664489675,0.0,-2.0
8,8,5,bittenfeld,v3b5,-0.21377943519763898,-0.08346427444779048,0.03139548335338549,-0.011442632986053303,-0.11898558274740267,-48.0,242.0
8,8,5,kircheis,v3b1,0.17223336457054872,0.20157166788830283,0.03743317268222379,-0.010186647371015933,-0.018089118361213963,-41.0,-51.0
8,8,5,kircheis,v3b2,0.01964100817544301,0.011981787356295293,0.01759013262732312,-0.019347481365500574,-0.11039378614992268,-37.0,-23.0
8,8,5,kircheis,v3b3,0.01741729534607872,0.0029354004567490044,0.04054874248151552,-0.034383855628677074,-0.152419798567065,-6.0,44.0
8,8,5,kircheis,v3b4,-0.12810273458324906,-0.06439599974481114,0.049414424211103536,-0.026435731410719754,-0.1346483396100866,-70.0,-26.0
8,8,5,kircheis,v3b5,-0.1919657211370649,-0.06439599974481114,0.07599625537943921,-0.02697911771857875,-0.23576448768850122,-37.0,-146.0
8,8,5,mittermeyer,v3b1,0.06499132377725525,0.1275247776879831,-0.02202521608525243,-0.004194371894209237,-0.004253184668588261,-30.0,188.0
8,8,5,mittermeyer,v3b2,-0.0064054278597374115,0.03840029178364279,-0.046605510432995656,-0.0012938698717659403,-0.05244801846036706,-42.0,-1.0
8,8,5,mittermeyer,v3b3,-0.02319405686731857,-0.009959143216243138,-0.04298290054974463,0.0036487698989700057,-0.03241757692658265,-48.0,0.0
8,8,5,mittermeyer,v3b4,-0.11094754562706788,-0.026522305591801576,0.015954843820838893,-0.0030154234527575152,-0.06857100370476243,-32.0,130.0
8,8,5,mittermeyer,v3b5,-0.18110122819854313,-0.026522305591801576,0.029194888814781716,-0.0038920004384797036,-0.09411611319804969,-43.0,-1.0
8,8,5,muller,v3b1,0.14797898277294674,0.21773218112844894,-0.025112456591194987,-0.00812069551650696,0.0999786248471577,-54.0,-215.0
8,8,5,muller,v3b2,0.043302998902958745,0.07485627135755157,-0.016752193976310892,-0.014088007931005286,0.005287872166574559,34.0,-74.0
8,8,5,muller,v3b3,0.059056607563601204,0.06407674934839802,0.010288705357422767,-0.023837999376164376,-0.02293248943270987,14.0,29.0
8,8,5,muller,v3b4,-0.10224585583389567,0.0,0.0069405264686647206,-0.016076598357322114,0.03552746692085984,164.0,23.0
8,8,5,muller,v3b5,-0.15273252900877687,0.0,0.009463823974614538,-0.008840419997180327,-0.2378746545541066,49.0,-154.0
8,8,5,reinhard,v3b1,0.08557884994404574,0.030470129012539537,-0.030727990656524984,0.004396319058355802,-0.006224466008373231,18.0,89.0
8,8,5,reinhard,v3b2,-0.01616832122924361,-0.08782991948741836,0.059794752029397435,-0.019682355876243562,0.02539555088135259,-32.0,163.0
8,8,5,reinhard,v3b3,-0.037403833004829856,-0.09880386040639921,0.020886661224856384,-0.016103234689058832,-0.020888186592393332,14.0,156.0
8,8,5,reinhard,v3b4,-0.15481568868485818,-0.15995510484225806,0.028528868289637632,-0.020763874883976463,-0.037300210364533015,112.0,157.0
8,8,5,reinhard,v3b5,-0.2146920464930746,-0.15995510484225806,0.07577076461712084,-0.020818149488456283,-0.14858178183950832,5.0,-52.0
8,8,5,reuenthal,v3b1,0.03120244056971977,0.043554322714742355,-0.00023081585713569108,0.008399184024040718,-0.3046561881835306,-25.0,1.0
8,8,5,reuenthal,v3b2,-0.04101111085522158,-0.004316795758094738,0.013170419998012384,-0.0034079327952791783,-0.37634653668317686,-174.0,2.0
8,8,5,reuenthal,v3b3,-0.061529634898109364,-0.05280230543984343,-0.02549422409751123,-0.002858345849361399,-0.38915722013373966,-114.0,1.0
8,8,5,reuenthal,v3b4,-0.04756354246853167,0.0,0.03410952826377078,-0.0023596982255171817,-0.2638119435649515,-88.0,2.0
8,8,5,reuenthal,v3b5,-0.10519479422324274,0.0,0.04858239804682929,-0.0023891443892920528,-0.36899249373569765,-18.0,1.0
