run_id,seed_profile_id,cell_FR,cell_MB,cell_PD,cell_ODW,movement_model,movement_model_requested,movement_model_effective,runtime_decision_source_requested,runtime_decision_source_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,odw_posture_bias_enabled_effective,odw_posture_bias_k_effective,odw_posture_bias_clip_delta_effective,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,opponent_archetype_id,side_a_vector,opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,first_damage_tick,missing_cut,pocket_without_cut,event_order_anomaly,event_order_anomaly_label,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,precontact_ar_forward_p90_A,precontact_wedge_ratio_p10_A,precontact_split_separation_p90_A,precontact_c_conn_mean_A,precontact_rho_mean_A,precontact_c_scale_mean_A,front_profile_A,wedge_present_A,local_penetration_A,structural_fragility_A,posture_coherence_A,fire_eff_contact_to_cut_mean_A,fire_eff_contact_to_cut_p90_A,front_profile_B,wedge_present_B,local_penetration_B,structural_fragility_B,posture_coherence_B,fire_eff_contact_to_cut_mean_B,fire_eff_contact_to_cut_p90_B,runtime_collapse_sig_mean_A,runtime_collapse_sig_p95_A,runtime_c_conn_mean_A,runtime_rho_mean_A,runtime_c_scale_mean_A,runtime_collapse_sig_mean_B,runtime_collapse_sig_p95_B,runtime_c_conn_mean_B,runtime_rho_mean_B,runtime_c_scale_mean_B,precontact_wedge_p50_A,precontact_frontcurv_p50_A,precontact_cw_pshare_p50_A,precontact_pospersist_max_abs_A,first_alive_lead_tick,first_alive_lead_side,first_alive_lead_change_tick,first_major_divergence_tick,first_major_divergence_side,max_alive_lead_A,max_alive_lead_B,contact_ticks,mean_in_contact_count_contact_phase,mean_damage_events_count_contact_phase,damage_events_per_contact_pair_proxy,determinism_digest,cell_id,variant_id,variant_experiment
SP01_FR2_MB2_PD8_ODW8,SP01,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,546,5,0,113,121,132,136,113,False,False,False,,2,,71.06227106227107,0.0,0.20622488342406506,0.0,0.28455875814117376,0.26120806262419255,0.6666666666666667,0.6076845298281093,2.2195705089853734,0.979487141163618,1.7201744640650434,0.9696999999999995,0.45909346043985005,1.0,mixed_front,False,True,False,False,0.5496682995735238,0.7082047341944829,flat_holding_front,False,True,False,False,0.5332346714748685,0.6938477586747755,0.035357142857142865,0.1344999999999999,0.9646428571428571,0.4576877994843078,1.0,0.06919642857142858,0.21999999999999997,0.9308035714285714,0.4579519543460033,1.0,0.9958796974673194,0.27774729933547104,-0.0005564588625738662,0.0,123,A,126,536,A,5,3,424,48.68632075471698,48.68632075471698,1.0,8e8db99eee1641b291317bf2c7c77493b095b04c78044ae3f5d0918f1fd1875c,FR2_MB2_PD8_ODW8,baseline,exp_precontact_centroid_probe
SP09_FR2_MB2_PD8_ODW8,SP09,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,1049858353,1430962147,825265366,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,546,5,0,113,121,132,136,113,False,False,False,,2,,71.06227106227107,0.0,0.20622488342406506,0.0,0.28455875814117376,0.26120806262419255,0.6666666666666667,0.6076845298281093,2.2195705089853734,0.979487141163618,1.7201744640650434,0.9696999999999995,0.45909346043985005,1.0,mixed_front,False,True,False,False,0.5496682995735238,0.7082047341944829,flat_holding_front,False,True,False,False,0.5332346714748685,0.6938477586747755,0.035357142857142865,0.1344999999999999,0.9646428571428571,0.4576877994843078,1.0,0.06919642857142858,0.21999999999999997,0.9308035714285714,0.4579519543460033,1.0,0.9958796974673194,0.27774729933547104,-0.0005564588625738662,0.0,123,A,126,536,A,5,3,424,48.68632075471698,48.68632075471698,1.0,8e8db99eee1641b291317bf2c7c77493b095b04c78044ae3f5d0918f1fd1875c,FR2_MB2_PD8_ODW8,baseline,exp_precontact_centroid_probe
SP18_FR2_MB2_PD8_ODW8,SP18,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,1383636782,1153110224,1272470450,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,546,5,0,113,121,132,136,113,False,False,False,,2,,71.06227106227107,0.0,0.20622488342406506,0.0,0.28455875814117376,0.26120806262419255,0.6666666666666667,0.6076845298281093,2.2195705089853734,0.979487141163618,1.7201744640650434,0.9696999999999995,0.45909346043985005,1.0,mixed_front,False,True,False,False,0.5496682995735238,0.7082047341944829,flat_holding_front,False,True,False,False,0.5332346714748685,0.6938477586747755,0.035357142857142865,0.1344999999999999,0.9646428571428571,0.4576877994843078,1.0,0.06919642857142858,0.21999999999999997,0.9308035714285714,0.4579519543460033,1.0,0.9958796974673194,0.27774729933547104,-0.0005564588625738662,0.0,123,A,126,536,A,5,3,424,48.68632075471698,48.68632075471698,1.0,8e8db99eee1641b291317bf2c7c77493b095b04c78044ae3f5d0918f1fd1875c,FR2_MB2_PD8_ODW8,baseline,exp_precontact_centroid_probe
SP01_FR2_MB2_PD8_ODW8,SP01,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_plus_fr_centroid_decouple_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,459,0,12,105,113,334,169,105,False,False,True,pocket_before_cut,2,450,42.91938997821351,2.178649237472767,0.08410892416634624,0.02178649237472767,0.1563737686857215,0.20543396437958228,0.5,0.6124999999999996,2.4048500185210577,0.6681536078279273,1.7308253558217033,0.9881,0.41633475806684794,1.0,unstable_penetration_wedge,True,True,False,False,0.7163032742316686,0.9393167044967958,mixed_front,False,True,False,False,0.7317377112007021,0.9340431989197845,0.01173076923076924,0.040000000000000036,0.9882692307692308,0.41778232992376163,1.0,0.01932692307692309,0.06000000000000005,0.9806730769230769,0.41847297149131485,1.0,0.7655289209038458,0.42742887940628727,0.0015615444186046741,0.0,113,B,118,298,B,2,12,345,58.25217391304348,58.25217391304348,1.0,c16b7a0656689ade536089e2a9d3acb9dde2d0ea3c4d8eaaae372d77164917d8,FR2_MB2_PD8_ODW8,fr_centroid_decouple_candidate,exp_precontact_plus_fr_centroid_decouple_probe
SP09_FR2_MB2_PD8_ODW8,SP09,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_plus_fr_centroid_decouple_probe,0.5,True,0.5,0.4,1049858353,1430962147,825265366,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,459,0,12,105,113,334,169,105,False,False,True,pocket_before_cut,2,450,42.91938997821351,2.178649237472767,0.08410892416634624,0.02178649237472767,0.1563737686857215,0.20543396437958228,0.5,0.6124999999999996,2.4048500185210577,0.6681536078279273,1.7308253558217033,0.9881,0.41633475806684794,1.0,unstable_penetration_wedge,True,True,False,False,0.7163032742316686,0.9393167044967958,mixed_front,False,True,False,False,0.7317377112007021,0.9340431989197845,0.01173076923076924,0.040000000000000036,0.9882692307692308,0.41778232992376163,1.0,0.01932692307692309,0.06000000000000005,0.9806730769230769,0.41847297149131485,1.0,0.7655289209038458,0.42742887940628727,0.0015615444186046741,0.0,113,B,118,298,B,2,12,345,58.25217391304348,58.25217391304348,1.0,c16b7a0656689ade536089e2a9d3acb9dde2d0ea3c4d8eaaae372d77164917d8,FR2_MB2_PD8_ODW8,fr_centroid_decouple_candidate,exp_precontact_plus_fr_centroid_decouple_probe
SP18_FR2_MB2_PD8_ODW8,SP18,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_plus_fr_centroid_decouple_probe,0.5,True,0.5,0.4,1383636782,1153110224,1272470450,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,459,0,12,105,113,334,169,105,False,False,True,pocket_before_cut,2,450,42.91938997821351,2.178649237472767,0.08410892416634624,0.02178649237472767,0.1563737686857215,0.20543396437958228,0.5,0.6124999999999996,2.4048500185210577,0.6681536078279273,1.7308253558217033,0.9881,0.41633475806684794,1.0,unstable_penetration_wedge,True,True,False,False,0.7163032742316686,0.9393167044967958,mixed_front,False,True,False,False,0.7317377112007021,0.9340431989197845,0.01173076923076924,0.040000000000000036,0.9882692307692308,0.41778232992376163,1.0,0.01932692307692309,0.06000000000000005,0.9806730769230769,0.41847297149131485,1.0,0.7655289209038458,0.42742887940628727,0.0015615444186046741,0.0,113,B,118,298,B,2,12,345,58.25217391304348,58.25217391304348,1.0,c16b7a0656689ade536089e2a9d3acb9dde2d0ea3c4d8eaaae372d77164917d8,FR2_MB2_PD8_ODW8,fr_centroid_decouple_candidate,exp_precontact_plus_fr_centroid_decouple_probe
SP01_FR2_MB8_PD8_ODW8,SP01,2,8,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,446,0,21,112,120,131,137,112,False,False,False,,2,437,56.2780269058296,2.242152466367713,0.11373663141809973,0.02242152466367713,0.19509461327044875,0.3618253658499139,0.5070422535211268,0.7185714285714286,2.1909359425691863,0.8630539448991119,1.7115358210565101,0.7397000000000001,0.45997083866655025,1.0,mixed_front,False,True,True,False,0.4431311029601023,0.6236128851364308,flat_holding_front,False,True,False,False,0.5417272282332205,0.7653486985407856,0.28306306306306306,0.595,0.7169369369369369,0.4582686610434961,1.0,0.0645945945945946,0.24,0.9354054054054054,0.45776134366695276,1.0,0.9315642667113164,0.14719344354708008,-0.0010430092671875313,0.0,120,B,,155,B,0,21,325,58.16923076923077,58.16923076923077,1.0,2cfdd4ca1b1c3ab27cfe8473be7306c7b69989c6689de0b47477e481b9d40aa7,FR2_MB8_PD8_ODW8,baseline,exp_precontact_centroid_probe
SP09_FR2_MB8_PD8_ODW8,SP09,2,8,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,1049858353,1430962147,825265366,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,446,0,21,112,120,131,137,112,False,False,False,,2,437,56.2780269058296,2.242152466367713,0.11373663141809973,0.02242152466367713,0.19509461327044875,0.3618253658499139,0.5070422535211268,0.7185714285714286,2.1909359425691863,0.8630539448991119,1.7115358210565101,0.7397000000000001,0.45997083866655025,1.0,mixed_front,False,True,True,False,0.4431311029601023,0.6236128851364308,flat_holding_front,False,True,False,False,0.5417272282332205,0.7653486985407856,0.28306306306306306,0.595,0.7169369369369369,0.4582686610434961,1.0,0.0645945945945946,0.24,0.9354054054054054,0.45776134366695276,1.0,0.9315642667113164,0.14719344354708008,-0.0010430092671875313,0.0,120,B,,155,B,0,21,325,58.16923076923077,58.16923076923077,1.0,2cfdd4ca1b1c3ab27cfe8473be7306c7b69989c6689de0b47477e481b9d40aa7,FR2_MB8_PD8_ODW8,baseline,exp_precontact_centroid_probe
SP18_FR2_MB8_PD8_ODW8,SP18,2,8,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,1383636782,1153110224,1272470450,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,446,0,21,112,120,131,137,112,False,False,False,,2,437,56.2780269058296,2.242152466367713,0.11373663141809973,0.02242152466367713,0.19509461327044875,0.3618253658499139,0.5070422535211268,0.7185714285714286,2.1909359425691863,0.8630539448991119,1.7115358210565101,0.7397000000000001,0.45997083866655025,1.0,mixed_front,False,True,True,False,0.4431311029601023,0.6236128851364308,flat_holding_front,False,True,False,False,0.5417272282332205,0.7653486985407856,0.28306306306306306,0.595,0.7169369369369369,0.4582686610434961,1.0,0.0645945945945946,0.24,0.9354054054054054,0.45776134366695276,1.0,0.9315642667113164,0.14719344354708008,-0.0010430092671875313,0.0,120,B,,155,B,0,21,325,58.16923076923077,58.16923076923077,1.0,2cfdd4ca1b1c3ab27cfe8473be7306c7b69989c6689de0b47477e481b9d40aa7,FR2_MB8_PD8_ODW8,baseline,exp_precontact_centroid_probe
SP01_FR2_MB8_PD8_ODW8,SP01,2,8,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_plus_fr_centroid_decouple_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,433,0,16,106,114,125,156,106,False,False,False,,2,424,39.030023094688225,2.3094688221709005,0.07282838276114934,0.023094688221709007,0.13940848637095515,0.2245098732081605,0.4596153846153846,0.6666666666666667,2.263494110731943,0.5823996298601241,1.7387674513917972,0.9404999999999997,0.4162134127285183,1.0,unstable_penetration_wedge,True,True,False,False,0.3050389590824982,0.5216032785533951,unstable_penetration_wedge,True,True,False,False,0.36910281894495606,0.5649952093462941,0.06152380952380953,0.148,0.9384761904761905,0.418216573639614,1.0,0.02104761904761906,0.06000000000000005,0.9789523809523809,0.41891575393763963,1.0,0.6270143444284715,0.8567151172112486,0.0005460829381167104,0.0,114,B,252,288,B,1,16,318,62.19496855345912,62.19496855345912,1.0,69aae55065010a0a8a768ddb1b7722c74f3dcd56e7e8fc190fbdd6cce25c0e07,FR2_MB8_PD8_ODW8,fr_centroid_decouple_candidate,exp_precontact_plus_fr_centroid_decouple_probe
SP09_FR2_MB8_PD8_ODW8,SP09,2,8,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_plus_fr_centroid_decouple_probe,0.5,True,0.5,0.4,1049858353,1430962147,825265366,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 8.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,433,0,16,106,114,125,156,106,False,False,False,,2,424,39.030023094688225,2.3094688221709005,0.07282838276114934,0.023094688221709007,0.13940848637095515,0.2245098732081605,0.4596153846153846,0.6666666666666667,2.263494110731943,0.5823996298601241,1.7387674513917972,0.9404999999999997,0.4162134127285183,1.0,unstable_penetration_wedge,True,True,False,False,0.3050389590824982,0.5216032785533951,unstable_penetration_wedge,True,True,False,False,0.36910281894495606,0.5649952093462941,0.06152380952380953,0.148,0.9384761904761905,0.418216573639614,1.0,0.02104761904761906,0.06000000000000005,0.9789523809523809,0.41891575393763963,1.0,0.6270143444284715,0.8567151172112486,0.0005460829381167104,0.0,114,B,252,288,B,1,16,318,62.19496855345912,62.19496855345912,1.0,69aae55065010a0a8a768ddb1b7722c74f3dcd56e7e8fc190fbdd6cce25c0e07,FR2_MB8_PD8_ODW8,fr_centroid_decouple_candidate,exp_precontact_plus_fr_centroid_decouple_probe
